Date,Source,Site ID,POC,val,UNITS,DAILY_AQI_VALUE,Site_Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-14,AQS,340410007,1,4.3,ug/m3 LC,18,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-01-17,AQS,340410007,1,17.6,ug/m3 LC,63,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-01-20,AQS,340410007,1,9.5,ug/m3 LC,40,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-01-23,AQS,340410007,1,8.6,ug/m3 LC,36,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-01-26,AQS,340410007,1,11.3,ug/m3 LC,47,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-01-29,AQS,340410007,1,8.9,ug/m3 LC,37,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-01,AQS,340410007,1,10.9,ug/m3 LC,45,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-04,AQS,340410007,1,8.8,ug/m3 LC,37,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-07,AQS,340410007,1,12.5,ug/m3 LC,52,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-10,AQS,340410007,1,25.5,ug/m3 LC,79,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-13,AQS,340410007,1,5.9,ug/m3 LC,25,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-16,AQS,340410007,1,4.5,ug/m3 LC,19,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-19,AQS,340410007,1,13.5,ug/m3 LC,54,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-22,AQS,340410007,1,3.6,ug/m3 LC,15,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-02-28,AQS,340410007,1,9.1,ug/m3 LC,38,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-09,AQS,340410007,1,3.7,ug/m3 LC,15,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-12,AQS,340410007,1,5.1,ug/m3 LC,21,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-15,AQS,340410007,1,6.4,ug/m3 LC,27,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-24,AQS,340410007,1,2.8,ug/m3 LC,12,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-27,AQS,340410007,1,7.6,ug/m3 LC,32,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-03-30,AQS,340410007,1,10.5,ug/m3 LC,44,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-02,AQS,340410007,1,5.9,ug/m3 LC,25,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-05,AQS,340410007,1,3.7,ug/m3 LC,15,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-08,AQS,340410007,1,4.6,ug/m3 LC,19,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-11,AQS,340410007,1,11.4,ug/m3 LC,48,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-14,AQS,340410007,1,13.3,ug/m3 LC,54,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-04-17,AQS,340410007,1,2,ug/m3 LC,8,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
