Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/28/2018,AQS,340010006,1,6.3,ug/m3 LC,26,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/1/2018,AQS,340010006,1,16,ug/m3 LC,59,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/4/2018,AQS,340010006,1,5.5,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/7/2018,AQS,340010006,1,3.1,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/10/2018,AQS,340010006,1,8.2,ug/m3 LC,34,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/13/2018,AQS,340010006,1,8,ug/m3 LC,33,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/16/2018,AQS,340010006,1,11.4,ug/m3 LC,48,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/19/2018,AQS,340010006,1,5.5,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/22/2018,AQS,340010006,1,7.1,ug/m3 LC,30,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/25/2018,AQS,340010006,1,4,ug/m3 LC,17,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
